quest_uid,description,media_required,points_label
1,"Tiktok.  Brotherhood’s Arrival – Recreate a trending “entrance” TikTok (slow-motion strut, choreographed walk, or glow-up) in front of what used to be Tabu, which used to be iCandy, featuring at least two team members. EXAMPLE:  https://www.tiktok.com/@its_alyyssaaa/video/7294377688993844526",video,Bonus: 1 point for props
2,"Tiktok.  The Drag Queen Blessing – With a drag queen, recreate a lip sync TikTok (RuPaul audio encouraged). EXAMPLE:  https://www.tiktok.com/@mldaniel/video/7555705328550038801?is_from_webapp=1&sender_device=pc&web_id=7450947370076407326",video,
3,Tiktok.  Brotherhood Dance-Off – At least 3 team members recreate a trending TikTok dance outside Bikestop. EXAMPLE:  https://www.tiktok.com/@benchmob/video/7381944530888658218,video,Bonus: 1 point if shirtless.  1 additional point if holding a beer.
4,Tiktok. Rom-Com Parody – Recreate a viral rom-com TikTok video near the rainbow crosswalk. EXAMPLE: https://www.tiktok.com/@ethcvora/video/7556072470923447563,video,
5,"Tiktok.  Bathroom Confessional – At what used to be Tabu, which used to be iCandy, go to the bathroom mirror, use a trending rant audio, and lip sync dramatically. EXAMPLE: https://www.tiktok.com/@editszxzll/video/7497788154074762518",video,
6,"Tiktok. Brotherhood Proposal – On Locust Street, one team member mock-proposes to another using a TikTok romantic audio. EXAMPLE:  https://www.tiktok.com/@angelehlers_/video/7514023567252606250?is_from_webapp=1&sender_device=pc&web_id=7450947370076407326",video,
7,Tiktok. The Rush Challenge – Recreate Troye Sivan’s Rush dance trend in or outside the Bike Stop with at least 3 shirtless participants.,video,
8,Tiktok. Hack Attack – Try a trending TikTok “life hack” — make it hilariously fail.  EXAMPLE: https://www.tiktok.com/@mr.memes088/video/7236068182950235419?is_from_webapp=1&sender_device=pc&web_id=7450947370076407326,video,
9,"Tiktok.  Action.  Film a fake high-energy drink commercial for “Bottom Fuel,” the drink that “keeps you going when the top can’t.”  Instructions: Use the TikTok “Crazy Frog” or “Sandstorm” audio.  Add fast cuts of chaos, people dancing, someone shaking a can, and energy lines.",video,"Bonus:  15 points if someone chugs it dramatically, 1 point if someone collapses afterward in slow motion."
10,"Tiktok.  Brotherhood Insurance Ad: For When He Doesn’t Text Back. A fake emotional ad for insurance protecting hearts and hangovers.  Instructions: Use “sad violin” or Sarah McLachlan audio, and caption overlays like “Protect what matters… your dignity.” ",video,
11,"Tiktok.  Brotherhood Skincare: Nocturnal Emissions Cream.  Film a parody skincare ad with way too much sensual energy, featuring at least two team members rubbing lotion on one another. Instructions: Use soft glow effect, “Glimpse of Us” audio, and close-up shots of men applying lotion in slow-mo. Add text overlays like “clinically proven to ease stress.”  ",video,Bonus: 15 points if someone applies it seductively.
12,"Tiktok.  Brotherhood Airlines: Fly Bottom Class. Make a travel ad for a fake budget airline where everyone’s a mess. Use at least two team members.  Instructions: Use green screen background with airplane footage, “Wings” by Little Mix or “Leaving on a Jet Plane” audio, and text-to-speech narration for disclaimers. ",video,"Bonus: 1 point if someone acts as a chaotic flight attendant, 15 points if there’s fake turbulence."
13,Tiktok. Recreate a stovetop DJ rave.  EXAMPLE: https://www.tiktok.com/t/ZP8APUV8H/,video,
14,Tiktok.  Recreate one of these question hand dance videos with the Magic Bomb sound.  EXAMPLE: https://www.tiktok.com/t/ZP8APUwjD/,video,
15,Video.  Take a video of two men (not on your team) kissing — but recreate a famous movie kiss scene while you direct it.,video,"Bonus points: 1 point if they’re hot, 1 point if both are straight, 10 points if they actually commit to the scene."
16,"Video.  Take a video of someone with an animal tattoo and have them make the noise of that animal while posing with your team (Bonus points:  1 point if it’s a tramp stamp, 1 point if they add a growl or roar).",video,"Bonus points:  1 point if it’s a tramp stamp, 1 point if they add a growl or roar."
17,Photo.  Locate a lesbian with a black lab and take a photo recreating a Hallmark-style “pet rescue” moment.,photo,
